,YearEnd,LocationDesc,Race/Ethnicity,Physical_Percentage,Obesity_Percentage,Soda_Percentage,PanelID,Production_diff,Production_diff_lag_1,Production_diff_lag_2,Production_diff_lag_3,Physical_Percentage_lag_1,Physical_Percentage_lag_2,Physical_Percentage_lag_3
3,2015,Alaska,2 or more races,15.2,17.3,11.1,0,-96.5,-169.0,178.5000000000009,133.79999999999927,14.1,17.0,16.8
4,2017,Alaska,2 or more races,17.6,21.7,11.6,0,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.2,14.1,17.0
5,2019,Alaska,2 or more races,19.6,21.6,10.9,0,-96.0,8.300000000000182,333.89999999999964,-96.5,17.6,15.2,14.1
12,2013,Delaware,2 or more races,12.6,21.1,26.3,3,-169.0,133.79999999999927,-79.5,-592.3000000000002,29.3,23.9,19.8
13,2015,Delaware,2 or more races,12.3,24.2,18.1,3,-96.5,-169.0,178.5000000000009,133.79999999999927,12.6,29.3,23.9
17,2015,Florida,2 or more races,25.4,15.1,19.8,4,-96.5,-169.0,178.5000000000009,133.79999999999927,26.9,19.8,26.8
18,2017,Florida,2 or more races,28.3,11.8,16.9,4,8.300000000000182,-96.5,-156.80000000000018,-169.0,25.4,26.9,19.8
19,2019,Florida,2 or more races,18.7,15.5,13.1,4,-96.0,8.300000000000182,333.89999999999964,-96.5,28.3,25.4,26.9
26,2013,Hawaii,2 or more races,7.1,13.7,13.6,6,-169.0,133.79999999999927,-79.5,-592.3000000000002,6.2,6.5,6.9
27,2015,Hawaii,2 or more races,4.5,13.0,11.9,6,-96.5,-169.0,178.5000000000009,133.79999999999927,7.1,6.2,6.5
28,2017,Hawaii,2 or more races,4.4,14.9,7.7,6,8.300000000000182,-96.5,-156.80000000000018,-169.0,4.5,7.1,6.2
29,2019,Hawaii,2 or more races,3.8,13.0,6.7,6,-96.0,8.300000000000182,333.89999999999964,-96.5,4.4,4.5,7.1
33,2017,Illinois,2 or more races,70.6,20.4,10.3,7,8.300000000000182,-96.5,-156.80000000000018,-169.0,68.1,72.5,63.6
43,2015,Maryland,2 or more races,15.8,15.6,17.3,11,-96.5,-169.0,178.5000000000009,133.79999999999927,17.7,21.8,14.7
44,2017,Maryland,2 or more races,14.6,16.0,14.1,11,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.8,17.7,21.8
45,2019,Maryland,2 or more races,15.4,16.7,12.7,11,-96.0,8.300000000000182,333.89999999999964,-96.5,14.6,15.8,17.7
49,2015,Massachusetts,2 or more races,23.7,21.9,19.4,12,-96.5,-169.0,178.5000000000009,133.79999999999927,18.7,21.1,31.1
50,2017,Massachusetts,2 or more races,16.0,16.5,14.2,12,8.300000000000182,-96.5,-156.80000000000018,-169.0,23.7,18.7,21.1
54,2013,Michigan,2 or more races,24.3,14.7,22.1,13,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.3,34.2,36.4
55,2015,Michigan,2 or more races,24.7,13.2,14.4,13,-96.5,-169.0,178.5000000000009,133.79999999999927,24.3,25.3,34.2
56,2019,Michigan,2 or more races,19.2,20.9,18.5,13,-96.0,8.300000000000182,333.89999999999964,-96.5,24.7,24.3,25.3
61,2015,Montana,2 or more races,32.4,16.7,16.3,15,-96.5,-169.0,178.5000000000009,133.79999999999927,33.6,35.5,38.9
62,2017,Montana,2 or more races,31.7,20.9,16.6,15,8.300000000000182,-96.5,-156.80000000000018,-169.0,32.4,33.6,35.5
63,2019,Montana,2 or more races,26.9,14.4,11.2,15,-96.0,8.300000000000182,333.89999999999964,-96.5,31.7,32.4,33.6
67,2013,National,2 or more races,31.2,12.3,24.5,16,-169.0,133.79999999999927,-79.5,-592.3000000000002,31.1,29.6,25.5
68,2015,National,2 or more races,29.7,15.5,24.0,16,-96.5,-169.0,178.5000000000009,133.79999999999927,31.2,31.1,29.6
69,2017,National,2 or more races,27.9,13.8,18.1,16,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.7,31.2,31.1
70,2019,National,2 or more races,25.6,18.5,13.4,16,-96.0,8.300000000000182,333.89999999999964,-96.5,27.9,29.7,31.2
78,2017,New Mexico,2 or more races,26.7,14.4,21.1,19,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.3,28.2,27.3
79,2019,New Mexico,2 or more races,18.4,15.5,18.6,19,-96.0,8.300000000000182,333.89999999999964,-96.5,26.7,29.3,28.2
83,2013,New York,2 or more races,19.2,6.4,25.3,20,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.1,7.5,8.3
84,2015,New York,2 or more races,10.9,9.9,11.2,20,-96.5,-169.0,178.5000000000009,133.79999999999927,19.2,25.1,7.5
85,2017,New York,2 or more races,10.6,23.0,8.6,20,8.300000000000182,-96.5,-156.80000000000018,-169.0,10.9,19.2,25.1
86,2019,New York,2 or more races,20.4,13.1,9.8,20,-96.0,8.300000000000182,333.89999999999964,-96.5,10.6,10.9,19.2
90,2019,North Carolina,2 or more races,24.2,23.4,18.7,21,-96.0,8.300000000000182,333.89999999999964,-96.5,30.4,27.7,28.7
94,2013,Oklahoma,2 or more races,36.3,11.3,31.6,22,-169.0,133.79999999999927,-79.5,-592.3000000000002,38.3,30.9,36.2
95,2015,Oklahoma,2 or more races,32.9,16.1,27.9,22,-96.5,-169.0,178.5000000000009,133.79999999999927,36.3,38.3,30.9
96,2017,Oklahoma,2 or more races,21.2,19.2,18.1,22,8.300000000000182,-96.5,-156.80000000000018,-169.0,32.9,36.3,38.3
97,2019,Oklahoma,2 or more races,22.4,22.0,24.5,22,-96.0,8.300000000000182,333.89999999999964,-96.5,21.2,32.9,36.3
103,2013,Rhode Island,2 or more races,24.0,17.3,20.5,24,-169.0,133.79999999999927,-79.5,-592.3000000000002,22.9,24.1,25.6
104,2015,Rhode Island,2 or more races,14.7,20.4,11.7,24,-96.5,-169.0,178.5000000000009,133.79999999999927,24.0,22.9,24.1
105,2017,Rhode Island,2 or more races,13.5,17.9,9.1,24,8.300000000000182,-96.5,-156.80000000000018,-169.0,14.7,24.0,22.9
121,2015,Wyoming,2 or more races,11.8,10.1,27.8,31,-96.5,-169.0,178.5000000000009,133.79999999999927,27.9,25.4,26.9
122,2007,Alaska,American Indian/Alaska Native,18.2,21.6,33.2,32,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,19.6,17.6,15.2
123,2009,Alaska,American Indian/Alaska Native,23.7,16.0,34.4,32,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,18.2,19.6,17.6
124,2011,Alaska,American Indian/Alaska Native,23.8,17.4,30.8,32,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,23.7,18.2,19.6
125,2013,Alaska,American Indian/Alaska Native,20.9,13.9,23.0,32,-169.0,133.79999999999927,-79.5,-592.3000000000002,23.8,23.7,18.2
126,2015,Alaska,American Indian/Alaska Native,26.5,16.9,36.5,32,-96.5,-169.0,178.5000000000009,133.79999999999927,20.9,23.8,23.7
127,2017,Alaska,American Indian/Alaska Native,23.5,22.4,20.7,32,8.300000000000182,-96.5,-156.80000000000018,-169.0,26.5,20.9,23.8
128,2019,Alaska,American Indian/Alaska Native,27.4,11.6,18.9,32,-96.0,8.300000000000182,333.89999999999964,-96.5,23.5,26.5,20.9
132,2013,Maryland,American Indian/Alaska Native,19.2,15.0,25.9,34,-169.0,133.79999999999927,-79.5,-592.3000000000002,15.4,14.6,15.8
133,2015,Maryland,American Indian/Alaska Native,14.4,14.3,22.6,34,-96.5,-169.0,178.5000000000009,133.79999999999927,19.2,15.4,14.6
134,2017,Maryland,American Indian/Alaska Native,17.2,17.9,17.8,34,8.300000000000182,-96.5,-156.80000000000018,-169.0,14.4,19.2,15.4
135,2019,Maryland,American Indian/Alaska Native,17.2,18.1,14.0,34,-96.0,8.300000000000182,333.89999999999964,-96.5,17.2,14.4,19.2
136,2007,Michigan,American Indian/Alaska Native,33.4,16.0,36.7,35,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,19.2,24.7,24.3
137,2007,Montana,American Indian/Alaska Native,29.7,16.9,30.9,36,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,26.9,31.7,32.4
138,2011,Montana,American Indian/Alaska Native,31.8,14.0,30.3,36,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,29.7,26.9,31.7
139,2013,Montana,American Indian/Alaska Native,42.7,18.8,23.9,36,-169.0,133.79999999999927,-79.5,-592.3000000000002,31.8,29.7,26.9
140,2015,Montana,American Indian/Alaska Native,34.5,16.2,23.7,36,-96.5,-169.0,178.5000000000009,133.79999999999927,42.7,31.8,29.7
141,2017,Montana,American Indian/Alaska Native,36.0,21.2,18.9,36,8.300000000000182,-96.5,-156.80000000000018,-169.0,34.5,42.7,31.8
142,2019,Montana,American Indian/Alaska Native,35.8,17.5,15.9,36,-96.0,8.300000000000182,333.89999999999964,-96.5,36.0,34.5,42.7
143,2007,National,American Indian/Alaska Native,33.3,21.1,37.7,37,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,25.6,27.9,29.7
144,2009,National,American Indian/Alaska Native,27.0,21.0,32.5,37,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,33.3,25.6,27.9
145,2011,National,American Indian/Alaska Native,31.6,21.2,35.8,37,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,27.0,33.3,25.6
146,2013,National,American Indian/Alaska Native,24.2,22.8,33.8,37,-169.0,133.79999999999927,-79.5,-592.3000000000002,31.6,27.0,33.3
147,2015,National,American Indian/Alaska Native,37.4,12.7,21.8,37,-96.5,-169.0,178.5000000000009,133.79999999999927,24.2,31.6,27.0
148,2017,National,American Indian/Alaska Native,38.6,11.0,32.1,37,8.300000000000182,-96.5,-156.80000000000018,-169.0,37.4,24.2,31.6
149,2007,New Mexico,American Indian/Alaska Native,29.1,17.3,27.7,38,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,18.4,26.7,29.3
150,2009,New Mexico,American Indian/Alaska Native,31.6,21.1,35.4,38,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,29.1,18.4,26.7
151,2011,New Mexico,American Indian/Alaska Native,40.2,21.1,30.9,38,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,31.6,29.1,18.4
152,2013,New Mexico,American Indian/Alaska Native,45.5,19.4,25.0,38,-169.0,133.79999999999927,-79.5,-592.3000000000002,40.2,31.6,29.1
153,2015,New Mexico,American Indian/Alaska Native,33.1,18.3,26.2,38,-96.5,-169.0,178.5000000000009,133.79999999999927,45.5,40.2,31.6
154,2017,New Mexico,American Indian/Alaska Native,28.0,18.6,25.0,38,8.300000000000182,-96.5,-156.80000000000018,-169.0,33.1,45.5,40.2
155,2019,New Mexico,American Indian/Alaska Native,27.9,21.1,19.7,38,-96.0,8.300000000000182,333.89999999999964,-96.5,28.0,33.1,45.5
156,2009,New York,American Indian/Alaska Native,13.4,8.5,36.6,39,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,20.4,10.6,10.9
157,2011,New York,American Indian/Alaska Native,30.1,17.5,29.2,39,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,13.4,20.4,10.6
158,2013,New York,American Indian/Alaska Native,29.6,14.2,15.0,39,-169.0,133.79999999999927,-79.5,-592.3000000000002,30.1,13.4,20.4
159,2015,New York,American Indian/Alaska Native,20.8,18.0,25.4,39,-96.5,-169.0,178.5000000000009,133.79999999999927,29.6,30.1,13.4
160,2017,New York,American Indian/Alaska Native,6.8,18.2,14.7,39,8.300000000000182,-96.5,-156.80000000000018,-169.0,20.8,29.6,30.1
162,2007,Oklahoma,American Indian/Alaska Native,39.5,15.4,47.5,41,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,22.4,21.2,32.9
163,2011,Oklahoma,American Indian/Alaska Native,34.9,17.5,41.5,41,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,39.5,22.4,21.2
164,2013,Oklahoma,American Indian/Alaska Native,36.1,17.9,36.8,41,-169.0,133.79999999999927,-79.5,-592.3000000000002,34.9,39.5,22.4
165,2015,Oklahoma,American Indian/Alaska Native,29.0,16.0,33.6,41,-96.5,-169.0,178.5000000000009,133.79999999999927,36.1,34.9,39.5
166,2017,Oklahoma,American Indian/Alaska Native,27.9,20.1,25.8,41,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.0,36.1,34.9
167,2019,Oklahoma,American Indian/Alaska Native,30.2,18.2,30.6,41,-96.0,8.300000000000182,333.89999999999964,-96.5,27.9,29.0,36.1
170,2019,South Dakota,American Indian/Alaska Native,16.1,16.5,19.2,42,-96.0,8.300000000000182,333.89999999999964,-96.5,13.5,16.0,20.2
171,2009,Vermont,American Indian/Alaska Native,25.3,22.4,41.5,43,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,15.7,20.0,20.0
172,2011,Vermont,American Indian/Alaska Native,20.3,18.1,27.2,43,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,25.3,15.7,20.0
173,2011,Wyoming,American Indian/Alaska Native,44.3,18.9,44.8,44,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,11.8,27.9,25.4
174,2015,Wyoming,American Indian/Alaska Native,31.3,17.8,23.1,44,-96.5,-169.0,178.5000000000009,133.79999999999927,44.3,11.8,27.9
175,2019,Alaska,Asian,10.8,15.0,9.0,45,-96.0,8.300000000000182,333.89999999999964,-96.5,27.4,23.5,26.5
180,2007,Florida,Asian,18.6,9.3,20.6,48,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,18.7,28.3,25.4
181,2009,Florida,Asian,17.7,4.3,17.9,48,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,18.6,18.7,28.3
182,2011,Florida,Asian,15.0,11.7,18.5,48,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,17.7,18.6,18.7
183,2013,Florida,Asian,15.3,8.7,12.9,48,-169.0,133.79999999999927,-79.5,-592.3000000000002,15.0,17.7,18.6
184,2015,Florida,Asian,13.4,11.7,10.9,48,-96.5,-169.0,178.5000000000009,133.79999999999927,15.3,15.0,17.7
185,2017,Florida,Asian,16.0,11.2,10.0,48,8.300000000000182,-96.5,-156.80000000000018,-169.0,13.4,15.3,15.0
186,2019,Florida,Asian,22.1,9.3,14.8,48,-96.0,8.300000000000182,333.89999999999964,-96.5,16.0,13.4,15.3
187,2015,Guam,Asian,11.9,20.2,8.4,49,-96.5,-169.0,178.5000000000009,133.79999999999927,7.2,5.2,8.4
188,2017,Guam,Asian,7.3,16.2,8.4,49,8.300000000000182,-96.5,-156.80000000000018,-169.0,11.9,7.2,5.2
189,2019,Guam,Asian,6.2,12.8,7.3,49,-96.0,8.300000000000182,333.89999999999964,-96.5,7.3,11.9,7.2
190,2007,Hawaii,Asian,8.4,13.0,18.9,50,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,3.8,4.4,4.5
191,2009,Hawaii,Asian,13.5,12.8,18.8,50,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,8.4,3.8,4.4
192,2011,Hawaii,Asian,7.2,13.5,14.6,50,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,13.5,8.4,3.8
193,2013,Hawaii,Asian,6.9,16.1,13.1,50,-169.0,133.79999999999927,-79.5,-592.3000000000002,7.2,13.5,8.4
194,2015,Hawaii,Asian,7.6,15.3,11.7,50,-96.5,-169.0,178.5000000000009,133.79999999999927,6.9,7.2,13.5
195,2017,Hawaii,Asian,5.9,12.0,9.5,50,8.300000000000182,-96.5,-156.80000000000018,-169.0,7.6,6.9,7.2
196,2019,Hawaii,Asian,6.2,13.0,7.7,50,-96.0,8.300000000000182,333.89999999999964,-96.5,5.9,7.6,6.9
197,2015,Illinois,Asian,70.6,2.7,6.4,51,-96.5,-169.0,178.5000000000009,133.79999999999927,70.6,68.1,72.5
198,2017,Illinois,Asian,76.2,12.1,5.9,51,8.300000000000182,-96.5,-156.80000000000018,-169.0,70.6,70.6,68.1
199,2019,Illinois,Asian,71.0,6.3,8.4,51,-96.0,8.300000000000182,333.89999999999964,-96.5,76.2,70.6,70.6
200,2011,Maryland,Asian,25.0,10.2,18.3,52,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,17.2,17.2,14.4
201,2013,Maryland,Asian,22.0,9.4,9.7,52,-169.0,133.79999999999927,-79.5,-592.3000000000002,25.0,17.2,17.2
202,2015,Maryland,Asian,18.4,9.8,7.3,52,-96.5,-169.0,178.5000000000009,133.79999999999927,22.0,25.0,17.2
203,2017,Maryland,Asian,21.5,10.8,5.5,52,8.300000000000182,-96.5,-156.80000000000018,-169.0,18.4,22.0,25.0
204,2019,Maryland,Asian,15.2,9.8,5.4,52,-96.0,8.300000000000182,333.89999999999964,-96.5,21.5,18.4,22.0
205,2007,Massachusetts,Asian,19.3,8.0,21.4,53,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,16.0,23.7,18.7
206,2009,Massachusetts,Asian,22.4,8.5,18.4,53,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,19.3,16.0,23.7
207,2011,Massachusetts,Asian,15.2,10.5,15.7,53,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,22.4,19.3,16.0
208,2013,Massachusetts,Asian,15.3,7.6,7.4,53,-169.0,133.79999999999927,-79.5,-592.3000000000002,15.2,22.4,19.3
209,2015,Massachusetts,Asian,26.0,12.6,9.6,53,-96.5,-169.0,178.5000000000009,133.79999999999927,15.3,15.2,22.4
210,2017,Massachusetts,Asian,15.5,8.5,3.1,53,8.300000000000182,-96.5,-156.80000000000018,-169.0,26.0,15.3,15.2
211,2019,Massachusetts,Asian,23.5,6.8,8.5,53,-96.0,8.300000000000182,333.89999999999964,-96.5,15.5,26.0,15.3
212,2009,Michigan,Asian,31.7,5.9,18.0,54,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,33.4,19.2,24.7
213,2013,Michigan,Asian,24.9,10.8,9.6,54,-169.0,133.79999999999927,-79.5,-592.3000000000002,31.7,33.4,19.2
214,2015,Michigan,Asian,22.3,10.1,10.9,54,-96.5,-169.0,178.5000000000009,133.79999999999927,24.9,31.7,33.4
215,2019,Michigan,Asian,25.1,12.6,9.0,54,-96.0,8.300000000000182,333.89999999999964,-96.5,22.3,24.9,31.7
216,2007,National,Asian,24.6,13.0,18.5,55,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,38.6,37.4,24.2
217,2009,National,Asian,34.1,10.9,16.3,55,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,24.6,38.6,37.4
218,2011,National,Asian,28.2,10.8,17.6,55,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,34.1,24.6,38.6
219,2013,National,Asian,26.4,13.6,12.2,55,-169.0,133.79999999999927,-79.5,-592.3000000000002,28.2,34.1,24.6
220,2015,National,Asian,25.9,11.9,8.9,55,-96.5,-169.0,178.5000000000009,133.79999999999927,26.4,28.2,34.1
221,2017,National,Asian,32.5,13.4,6.7,55,8.300000000000182,-96.5,-156.80000000000018,-169.0,25.9,26.4,28.2
222,2019,National,Asian,27.3,11.0,4.6,55,-96.0,8.300000000000182,333.89999999999964,-96.5,32.5,25.9,26.4
223,2017,Nevada,Asian,26.0,17.2,9.9,56,8.300000000000182,-96.5,-156.80000000000018,-169.0,15.6,22.6,25.1
224,2019,Nevada,Asian,15.8,16.7,4.8,56,-96.0,8.300000000000182,333.89999999999964,-96.5,26.0,15.6,22.6
227,2013,New Mexico,Asian,12.8,8.3,16.9,58,-169.0,133.79999999999927,-79.5,-592.3000000000002,27.9,28.0,33.1
228,2007,New York,Asian,24.3,8.3,13.3,59,198.69999999999982,31.5,-278.6999999999998,-83.60000000000036,6.8,20.8,29.6
229,2009,New York,Asian,32.3,11.8,13.8,59,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,24.3,6.8,20.8
230,2011,New York,Asian,26.1,11.0,12.0,59,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,32.3,24.3,6.8
231,2013,New York,Asian,32.5,11.1,10.2,59,-169.0,133.79999999999927,-79.5,-592.3000000000002,26.1,32.3,24.3
232,2015,New York,Asian,29.2,9.8,11.7,59,-96.5,-169.0,178.5000000000009,133.79999999999927,32.5,26.1,32.3
233,2017,New York,Asian,28.2,12.6,7.9,59,8.300000000000182,-96.5,-156.80000000000018,-169.0,29.2,32.5,26.1
234,2019,New York,Asian,25.9,14.9,6.6,59,-96.0,8.300000000000182,333.89999999999964,-96.5,28.2,29.2,32.5
235,2015,North Carolina,Asian,37.8,3.6,2.9,60,-96.5,-169.0,178.5000000000009,133.79999999999927,24.2,30.4,27.7
236,2017,North Carolina,Asian,22.5,20.4,9.6,60,8.300000000000182,-96.5,-156.80000000000018,-169.0,37.8,24.2,30.4
237,2019,North Carolina,Asian,15.9,9.3,11.1,60,-96.0,8.300000000000182,333.89999999999964,-96.5,22.5,37.8,24.2
239,2009,Rhode Island,Asian,21.4,13.1,21.4,62,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,13.5,14.7,24.0
240,2011,Rhode Island,Asian,35.8,6.0,18.5,62,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,21.4,13.5,14.7
241,2015,Rhode Island,Asian,22.0,9.9,6.5,62,-96.5,-169.0,178.5000000000009,133.79999999999927,35.8,21.4,13.5
244,2009,Vermont,Asian,13.8,11.6,17.9,64,-592.3000000000002,198.69999999999982,150.40000000000055,31.5,20.3,25.3,15.7
245,2011,Vermont,Asian,10.9,8.4,17.4,64,133.79999999999927,-592.3000000000002,351.3000000000002,198.69999999999982,13.8,20.3,25.3
